npn_rep_hex,npn_rep_dec,opt_xag,tree_xag,gap_xag
0x0000,0,0,0,0
0x0001,1,3,3,0
0x0003,3,2,2,0
0x0006,6,3,3,0
0x0007,7,3,3,0
0x000f,15,1,1,0
0x0016,22,5,5,0
0x0017,23,5,5,0
0x0018,24,4,4,0
0x0019,25,4,4,0
0x001b,27,4,4,0
0x001e,30,3,3,0
0x001f,31,3,3,0
0x003c,60,2,2,0
0x003d,61,4,4,0
0x003f,63,2,2,0
0x0069,105,3,3,0
0x006b,107,5,5,0
0x006f,111,3,3,0
0x007e,126,4,4,0
0x007f,127,3,3,0
0x00ff,255,0,0,0
0x0116,278,7,7,0
0x0117,279,7,7,0
0x0118,280,6,6,0
0x0119,281,6,6,0
0x011a,282,6,6,0
0x011b,283,6,6,0
0x011e,286,5,5,0
0x011f,287,5,5,0
0x012c,300,5,5,0
0x012d,301,5,5,0
0x012f,303,5,5,0
0x013c,316,5,5,0
0x013d,317,5,5,0
0x013e,318,5,5,0
0x013f,319,5,5,0
0x0168,360,5,5,0
0x0169,361,5,5,0
0x016a,362,6,6,0
0x016b,363,6,6,0
0x016e,366,5,5,0
0x016f,367,5,5,0
0x017e,382,6,6,0
0x017f,383,6,6,0
0x0180,384,5,5,0
0x0181,385,5,5,0
0x0182,386,5,5,0
0x0183,387,5,5,0
0x0186,390,5,5,0
0x0187,391,5,5,0
0x0189,393,5,5,0
0x018b,395,5,5,0
0x018f,399,5,5,0
0x0196,406,6,6,0
0x0197,407,6,6,0
0x0198,408,4,4,0
0x0199,409,4,4,0
0x019a,410,5,5,0
0x019b,411,6,6,0
0x019e,414,6,6,0
0x019f,415,6,6,0
0x01a8,424,4,4,0
0x01a9,425,4,4,0
0x01aa,426,4,4,0
0x01ab,427,4,4,0
0x01ac,428,6,6,0
0x01ad,429,6,6,0
0x01ae,430,4,4,0
0x01af,431,4,4,0
0x01bc,444,6,6,0
0x01bd,445,6,6,0
0x01be,446,5,5,0
0x01bf,447,5,5,0
0x01e8,488,6,6,0
0x01e9,489,6,7,1
0x01ea,490,5,5,0
0x01eb,491,5,5,0
0x01ee,494,4,4,0
0x01ef,495,4,4,0
0x01fe,510,3,3,0
0x033c,828,4,4,0
0x033d,829,6,6,0
0x033f,831,4,4,0
0x0356,854,3,3,0
0x0357,855,3,3,0
0x0358,856,5,5,0
0x0359,857,4,4,0
0x035a,858,4,4,0
0x035b,859,4,4,0
0x035e,862,5,5,0
0x035f,863,4,4,0
0x0368,872,6,6,0
0x0369,873,5,5,0
0x036a,874,5,5,0
0x036b,875,5,5,0
0x036c,876,5,5,0
0x036d,877,6,6,0
0x036e,878,5,5,0
0x036f,879,5,5,0
0x037c,892,5,5,0
0x037d,893,6,6,0
0x037e,894,5,5,0
0x03c0,960,3,3,0
0x03c1,961,5,5,0
0x03c3,963,3,3,0
0x03c5,965,5,5,0
0x03c6,966,5,5,0
0x03c7,967,5,5,0
0x03cf,975,3,3,0
0x03d4,980,5,5,0
0x03d5,981,5,5,0
0x03d6,982,5,5,0
0x03d7,983,5,5,0
0x03d8,984,6,6,0
0x03d9,985,5,5,0
0x03db,987,6,6,0
0x03dc,988,4,4,0
0x03dd,989,5,5,0
0x03de,990,4,4,0
0x03fc,1020,2,2,0
0x0660,1632,3,3,0
0x0661,1633,6,7,1
0x0662,1634,5,5,0
0x0663,1635,5,5,0
0x0666,1638,3,3,0
0x0667,1639,6,6,0
0x0669,1641,5,5,0
0x066b,1643,7,7,0
0x066f,1647,5,5,0
0x0672,1650,6,6,0
0x0673,1651,5,5,0
0x0676,1654,5,5,0
0x0678,1656,6,6,0
0x0679,1657,6,6,0
0x067a,1658,6,6,0
0x067b,1659,6,6,0
0x067e,1662,6,6,0
0x0690,1680,4,4,0
0x0691,1681,6,6,0
0x0693,1683,6,6,0
0x0696,1686,4,4,0
0x0697,1687,6,6,0
0x069f,1695,4,4,0
0x06b0,1712,6,6,0
0x06b1,1713,6,6,0
0x06b2,1714,6,6,0
0x06b3,1715,6,6,0
0x06b4,1716,6,6,0
0x06b5,1717,6,6,0
0x06b6,1718,6,6,0
0x06b7,1719,6,6,0
0x06b9,1721,5,5,0
0x06bd,1725,5,5,0
0x06f0,1776,4,4,0
0x06f1,1777,5,5,0
0x06f2,1778,6,6,0
0x06f6,1782,4,4,0
0x06f9,1785,3,3,0
0x0776,1910,6,6,0
0x0778,1912,5,5,0
0x0779,1913,7,7,0
0x077a,1914,6,6,0
0x077e,1918,6,6,0
0x07b0,1968,4,4,0
0x07b1,1969,6,6,0
0x07b4,1972,5,5,0
0x07b5,1973,6,6,0
0x07b6,1974,6,6,0
0x07bc,1980,5,5,0
0x07e0,2016,5,5,0
0x07e1,2017,6,6,0
0x07e2,2018,6,6,0
0x07e3,2019,6,6,0
0x07e6,2022,6,6,0
0x07e9,2025,5,5,0
0x07f0,2032,4,4,0
0x07f1,2033,5,5,0
0x07f2,2034,4,4,0
0x07f8,2040,3,3,0
0x0ff0,4080,1,1,0
0x1668,5736,6,7,1
0x1669,5737,6,6,0
0x166a,5738,7,7,0
0x166b,5739,6,6,0
0x166e,5742,6,6,0
0x167e,5758,6,7,1
0x1681,5761,7,7,0
0x1683,5763,6,6,0
0x1686,5766,5,5,0
0x1687,5767,6,6,0
0x1689,5769,6,6,0
0x168b,5771,7,7,0
0x168e,5774,7,7,0
0x1696,5782,5,5,0
0x1697,5783,6,6,0
0x1698,5784,7,7,0
0x1699,5785,5,5,0
0x169a,5786,6,6,0
0x169b,5787,7,7,0
0x169e,5790,5,5,0
0x16a9,5801,6,6,0
0x16ac,5804,7,7,0
0x16ad,5805,6,6,0
0x16bc,5820,5,5,0
0x16e9,5865,5,5,0
0x177e,6014,6,6,0
0x178e,6030,5,5,0
0x1796,6038,5,5,0
0x1798,6040,6,6,0
0x179a,6042,7,7,0
0x17ac,6060,6,6,0
0x17e8,6120,5,5,0
0x18e7,6375,4,4,0
0x19e1,6625,6,6,0
0x19e3,6627,6,6,0
0x19e6,6630,4,4,0
0x1bd8,7128,5,5,0
0x1be4,7140,4,4,0
0x1ee1,7905,3,3,0
0x3cc3,15555,2,2,0
0x6996,27030,3,3,0
