tt,opt,tree,gap,verdict,t_sec
2578557600,5,6,1,gap1,19.51
1771476585,4,4,0,gap0,1.30
3275539350,4,4,0,gap0,2.00
277479848,5,5,0,gap0,6.29
3275516310,4,4,0,gap0,1.71
2004016600,5,5,0,gap0,7.70
4193689455,4,4,0,gap0,2.00
4293787410,4,4,0,gap0,3.02
252679785,4,4,0,gap0,2.17
2422828950,6,6,0,gap0,23.50
1671208035,4,4,0,gap0,1.39
3011459067,5,5,0,gap0,6.60
2796136870,4,4,0,gap0,2.09
4109694128,5,5,0,gap0,11.41
2523479235,4,4,0,gap0,1.41
1705600342,5,5,0,gap0,2.11
1700200447,4,4,0,gap0,0.92
537931824,4,4,0,gap0,0.91
4288085865,4,4,0,gap0,1.11
2470011702,4,4,0,gap0,1.17
1516873110,4,4,0,gap0,0.59
1453939365,4,4,0,gap0,0.79
2229146295,6,6,0,gap0,29.02
2523476940,4,4,0,gap0,0.98
260509515,4,4,0,gap0,1.11
2271836310,6,6,0,gap0,10.17
1075119185,4,4,0,gap0,1.03
2523490710,4,4,0,gap0,0.82
2573625750,4,4,0,gap0,0.81
2527422885,4,4,0,gap0,1.00
33684990,4,4,0,gap0,1.00
2523506010,4,4,0,gap0,0.97
2523489945,4,4,0,gap0,0.82
855680406,5,5,0,gap0,2.50
4194432,4,4,0,gap0,0.90
1515874710,4,4,0,gap0,0.92
1718196582,5,5,0,gap0,3.19
185467905,4,4,0,gap0,0.92
2105736960,4,4,0,gap0,0.98
1771460010,4,4,0,gap0,0.82
1700157029,4,4,0,gap0,0.88
2219319570,4,4,0,gap0,1.01
2674876560,4,4,0,gap0,0.90
2529423600,4,4,0,gap0,0.80
1448716710,4,4,0,gap0,1.19
1515627877,4,4,0,gap0,1.21
1761646080,4,4,0,gap0,1.05
1971986655,5,5,0,gap0,2.82
3281402985,4,4,0,gap0,0.81
2526439830,4,4,0,gap0,0.89
1270118535,5,5,0,gap0,2.51
1016501820,4,4,0,gap0,0.99
2667995385,5,5,0,gap0,3.23
1621073760,4,4,0,gap0,0.90
1721330070,4,4,0,gap0,0.74
252641792,4,4,0,gap0,0.96
2473356435,4,4,0,gap0,0.62
1721343855,5,5,0,gap0,2.82
1705613910,5,5,0,gap0,2.39
4284153750,4,4,0,gap0,1.11
3776847585,4,4,0,gap0,0.73
341131520,4,4,0,gap0,0.87
2476749568,4,4,0,gap0,0.90
77989285,5,5,0,gap0,4.32
3531091335,4,4,0,gap0,0.91
3604425,4,4,0,gap0,1.27
4294967145,4,4,0,gap0,0.93
2778028650,4,4,0,gap0,0.92
1897343922,6,6,0,gap0,36.61
61538303,5,5,0,gap0,3.40
142639112,4,4,0,gap0,0.80
417809085,5,5,0,gap0,4.06
2469630867,4,4,0,gap0,0.94
3385247433,4,4,0,gap0,0.89
568253985,4,4,0,gap0,0.87
4278255570,4,4,0,gap0,1.01
4042272015,4,4,0,gap0,0.90
4286316415,5,5,0,gap0,3.80
1872717465,4,4,0,gap0,0.90
4193648640,4,4,0,gap0,0.91
1721341545,4,4,0,gap0,0.88
2623786083,5,5,0,gap0,3.51
3741065475,4,4,0,gap0,0.97
161023590,4,4,0,gap0,0.92
2529388860,4,4,0,gap0,0.99
168442122,4,4,0,gap0,0.91
16770,4,4,0,gap0,1.06
3826233615,5,5,0,gap0,6.02
869030490,5,5,0,gap0,4.11
3024833460,4,4,0,gap0,0.99
2165843010,5,5,0,gap0,4.38
4093425645,4,4,0,gap0,0.94
969328185,4,4,0,gap0,0.58
1784255910,5,5,0,gap0,2.21
672454635,4,4,0,gap0,1.08
272646160,4,4,0,gap0,0.92
1824966252,4,4,0,gap0,1.02
1074839535,4,4,0,gap0,1.10
2523502230,4,4,0,gap0,0.98
4163893496,5,5,0,gap0,7.03
1722373546,5,5,0,gap0,2.80
1771453635,4,4,0,gap0,0.96
1721150042,4,4,0,gap0,0.88
2576963993,4,4,0,gap0,0.91
1620086880,4,4,0,gap0,0.88
272630020,4,4,0,gap0,1.02
1704630885,4,4,0,gap0,0.61
507306435,4,4,0,gap0,0.89
151400496,5,5,0,gap0,3.01
2183669890,4,4,0,gap0,0.86
3328981395,4,4,0,gap0,0.83
1674168777,5,5,0,gap0,2.07
3956791275,4,4,0,gap0,0.92
1341131700,6,6,0,gap0,21.19
1611018243,4,4,0,gap0,0.87
1504073130,4,4,0,gap0,0.84
2466289920,4,4,0,gap0,1.13
4244832000,4,4,0,gap0,1.21
3609788160,4,4,0,gap0,1.00
3771756720,5,5,0,gap0,3.22
213928068,4,4,0,gap0,0.99
1849647667,5,6,1,gap1,10.43
16760640,4,4,0,gap0,1.04
3101837085,5,5,0,gap0,3.70
1250048,4,4,0,gap0,1.10
1789306474,4,4,0,gap0,1.18
1184256,4,4,0,gap0,1.14
321979184,4,4,0,gap0,0.89
2791986517,4,4,0,gap0,1.21
1091840130,5,5,0,gap0,2.53
2841007785,4,4,0,gap0,0.78
1771480410,4,4,0,gap0,0.81
4243643994,4,4,0,gap0,0.82
4291690545,4,4,0,gap0,0.98
1711276176,6,6,0,gap0,14.12
4285136790,4,4,0,gap0,1.17
2219342775,4,4,0,gap0,0.99
1209173025,4,4,0,gap0,0.82
1788175770,5,5,0,gap0,2.67
2520530070,4,4,0,gap0,0.91
2022113280,4,4,0,gap0,0.88
2225439876,4,4,0,gap0,1.21
1099043880,4,4,0,gap0,0.91
3275546910,4,4,0,gap0,0.97
2516582505,5,5,0,gap0,2.41
1824955593,4,4,0,gap0,0.89
264472515,4,4,0,gap0,1.00
3486470095,4,4,0,gap0,1.08
1437248343,5,5,0,gap0,3.60
2399620875,5,5,0,gap0,2.68
1717999209,4,4,0,gap0,1.91
4042846450,4,4,0,gap0,2.32
1771490355,4,4,0,gap0,1.81
1013579775,4,4,0,gap0,2.22
4286611711,4,4,0,gap0,2.12
2523463680,4,4,0,gap0,2.19
101255430,4,4,0,gap0,1.79
1099072065,4,4,0,gap0,1.78
2109659115,4,4,0,gap0,1.81
1435915625,4,4,0,gap0,2.01
518119710,4,4,0,gap0,1.22
1821610860,4,4,0,gap0,1.80
3425945910,4,4,0,gap0,1.68
1093157140,5,5,0,gap0,7.10
1768515993,4,4,0,gap0,2.20
16660,4,4,0,gap0,1.79
150468360,4,4,0,gap0,1.89
15401150,4,4,0,gap0,2.00
3439250655,5,5,0,gap0,14.31
304165683,4,4,0,gap0,1.89
259846275,5,5,0,gap0,5.61
2344335496,5,5,0,gap0,9.59
2841029205,4,4,0,gap0,2.29
304171140,4,4,0,gap0,1.72
3204443135,4,4,0,gap0,2.09
3021884385,5,5,0,gap0,4.70
3078323127,4,4,0,gap0,1.81
2479254585,5,5,0,gap0,4.61
11815755,5,5,0,gap0,9.32
4023369535,4,4,0,gap0,1.61
3959406250,4,4,0,gap0,2.29
1721145705,4,4,0,gap0,1.30
1016710041,5,5,0,gap0,6.10
2105703805,4,4,0,gap0,1.72
2769262140,4,4,0,gap0,1.61
2846251350,5,5,0,gap0,5.98
2522180010,4,4,0,gap0,1.60
33553920,4,4,0,gap0,2.21
2425393305,4,4,0,gap0,1.69
1519822185,4,4,0,gap0,1.29
1724673222,4,4,0,gap0,2.68
2779097514,4,4,0,gap0,2.42
859007436,4,4,0,gap0,1.99
2573638038,4,4,0,gap0,1.91
3943632875,5,6,1,gap1,18.99
1498850985,4,4,0,gap0,1.61
1013564310,4,4,0,gap0,1.18
514187610,5,5,0,gap0,5.20
3271607210,5,5,0,gap0,5.41
3429456384,6,6,0,gap0,41.71
1348423788,5,5,0,gap0,6.80
2148036615,4,4,0,gap0,2.28
4294903305,4,4,0,gap0,1.81
3539988735,4,4,0,gap0,1.69
321985457,5,5,0,gap0,11.70
1768515990,4,4,0,gap0,1.51
214734165,5,5,0,gap0,15.03
3741285375,4,4,0,gap0,2.47
1216613568,4,4,0,gap0,2.41
1064288400,4,4,0,gap0,2.58
1862923920,5,5,0,gap0,6.21
2856430100,5,5,0,gap0,8.79
4294958830,4,4,0,gap0,1.79
768791085,4,4,0,gap0,1.19
3195863235,5,5,0,gap0,14.51
1670604441,4,4,0,gap0,1.80
3526164525,5,5,0,gap0,7.50
3531110610,4,4,0,gap0,1.89
4093047024,4,4,0,gap0,2.29
3717590634,5,5,0,gap0,10.60
2528402130,6,,-1,inconclusive,44.20
34800111,6,6,0,gap0,34.69
106980864,4,4,0,gap0,2.40
101671152,4,4,0,gap0,2.00
2857720230,4,4,0,gap0,1.69
1398561875,5,5,0,gap0,6.50
2577176979,5,5,0,gap0,6.90
38505,4,4,0,gap0,2.00
3230403784,5,5,0,gap0,5.80
2274785385,5,5,0,gap0,8.19
2898984143,5,5,0,gap0,11.10
3075009810,4,4,0,gap0,1.99
3977388510,5,5,0,gap0,5.92
1019439510,4,4,0,gap0,1.69
1721330835,4,4,0,gap0,1.79
1520790165,4,4,0,gap0,1.41
685212285,4,4,0,gap0,1.78
116985075,4,4,0,gap0,1.89
2674880415,4,4,0,gap0,1.90
2215776900,5,5,0,gap0,6.79
339820820,4,4,0,gap0,1.61
1608495015,6,,-1,inconclusive,39.89
1196167965,5,5,0,gap0,6.30
2577373593,4,4,0,gap0,1.70
3078929288,5,5,0,gap0,5.31
1020044629,5,5,0,gap0,4.89
1216644168,4,4,0,gap0,1.80
1387090095,5,5,0,gap0,8.19
4227725817,5,5,0,gap0,6.72
1977613655,5,5,0,gap0,6.91
8519680,4,4,0,gap0,2.85
1431666039,4,4,0,gap0,3.27
3195923415,4,4,0,gap0,1.97
2795940437,5,5,0,gap0,5.71
2974699185,5,5,0,gap0,3.43
3579166719,5,5,0,gap0,10.92
506319585,5,5,0,gap0,5.29
3526222110,4,4,0,gap0,2.29
16680,5,5,0,gap0,10.10
1432726170,4,4,0,gap0,2.39
3743481600,4,4,0,gap0,2.00
1765578435,4,4,0,gap0,1.39
33562624,4,4,0,gap0,2.50
3435947721,5,5,0,gap0,12.90
4130998725,5,5,0,gap0,4.89
3435383238,4,4,0,gap0,2.01
2109669315,5,5,0,gap0,7.04
3782768760,5,5,0,gap0,14.71
2185373720,5,5,0,gap0,5.59
2361357120,5,5,0,gap0,4.81
869045100,4,4,0,gap0,1.80
1448782245,4,4,0,gap0,1.70
3208675200,4,4,0,gap0,2.00
4294935624,4,4,0,gap0,2.02
1524540909,4,4,0,gap0,2.00
3284353385,5,6,1,gap1,19.02
134495292,5,5,0,gap0,10.62
1772459610,4,4,0,gap0,1.80
1016513385,4,4,0,gap0,1.51
4177960800,4,4,0,gap0,2.48
1504089450,4,4,0,gap0,2.09
1785369962,4,4,0,gap0,2.00
10863462,5,5,0,gap0,11.31
2523507370,4,4,0,gap0,1.90
1141981206,6,,-1,inconclusive,47.49
65517,4,4,0,gap0,1.91
3329006793,5,5,0,gap0,16.58
2718436000,5,5,0,gap0,6.91
759924510,5,5,0,gap0,10.80
865679769,4,4,0,gap0,2.11
2523294105,4,4,0,gap0,1.39
2570675910,4,4,0,gap0,1.89
2841024870,4,4,0,gap0,1.70
3375799395,4,4,0,gap0,2.31
